FTB_FUNCTION,FTB_TAB,FTB_RENTITY,FTB_VISIBLE,FTB_SELECT,FTB_UPDATE,FTB_INSERT,FTB_DELETE,FTB_DISPLAYFT,FTB_SYSREQUIRED,FTB_SEQ,FTB_SQLEXIST,FTB_UPDATECOUNT,FTB_ALTERSAVE,FTB_INTERFACECODE,FTB_MEKEY,FTB_EWSBTN,FTB_XTYPE,FTB_NODESIGN,FTB_DESIGNPOPUP,FTB_LASTSAVED,FTB_PRODUCT
ZJ1000,PEV,PERM,'+,?,*,'+,,'-,,30,,0,'+,,YN,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,PFA,,'+,?,*,'+,X,'-,'-,31,,0,'+,WEJOBP,YN,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,PLA,,'-,?,*,'+,X,'-,'-,43,,0,'+,WEACTJ,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,REA,READ,'+,?,*,'+,X,'-,,9,,0,'+,WEMTRR,YY,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,RMR,,'+,?,,,,'-,'-,55,,0,,,YY,'-,listonly,'+,'-,2025-10-23 11:40:39,B
ZJ1000,RSL,,'+,?,,,,,'-,60,,0,'-,,YY,'-,listonly,'+,'-,2026-04-02 01:02:59,B
ZJ1000,RSS,,'+,?,*,'+,X,'-,'-,33,,0,'+,WEJOBR,YY,'-,,'-,'-,2025-10-23 11:40:39,B
ZJ1000,RWH,EVNT,'+,?,*,,,'-,'-,37,,0,'+,,YY,'-,listonly,'+,'-,2025-10-23 11:40:39,B
ZJ1000,RWO,EVNT,'+,?,*,,,'-,'-,36,,0,'+,,YY,'-,listonly,'-,'-,2025-10-23 11:40:39,B
ZJ1000,SCH,,'+,?,*,'+,X,'-,,8,,0,'+,WESCHD,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,SRQ,,'+,?,,,,'-,'-,20,,0,,,YN,'-,recordview,'-,'-,2025-10-23 11:40:39,B
ZJ1000,TOR,,'+,?,*,'+,X,'-,'-,15,,0,'+,WETLWO,YY,'-,listdetailview,'-,'-,2025-10-23 11:40:39,B
